scenario_header,uprice,point_header_original,shock_value,shock_type,Notional,ab_Epsilon,ab_Th PnL,ab_Theta,ab_Vega,ab_WVega,ab_Zeta,ab_sDeltaPath,ab_sGammaPath,ab_sOEV
21MAY25,109.8671875,10%,0.1,percentage,-185384.99,-20000.0,-440106.25,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,15%,0.15,percentage,-185384.99,-20000.0,-549973.44,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,20%,0.2,percentage,-185384.99,-20000.0,-659840.62,-0.0,-0.0,-0.0,0.0,-20000.0,0.0,1.13
21MAY25,109.8671875,25%,0.25,percentage,-185384.99,-20000.0,-769707.81,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0
21MAY25,109.8671875,30%,0.3,percentage,-185384.99,-20000.0,-879575.0,0.0,0.0,0.0,0.0,-20000.0,0.0,0.0
JUN25,109.8671875,-30%,-0.3,percentage,715447500.0,0.0,-103483878.12,0.0,0.0,0.0,0.0,3050000.0,0.0,0.0
JUN25,109.8671875,-25%,-0.25,percentage,715447500.0,-0.0,-86729132.03,0.0,0.0,0.0,-0.04,3050000.0,0.0,0.0
JUN25,109.8671875,-20%,-0.2,percentage,715447500.0,-0.0,-69974385.94,0.0,0.0,0.0,-0.04,3050000.0,0.0,0.0
JUN25,109.8671875,-15%,-0.15,percentage,715447500.0,-0.0,-53219639.84,0.0,-0.0,-0.0,-0.05,3050000.0,0.0,-397.79
JUN25,109.8671875,-10%,-0.1,percentage,715447500.0,-0.0,-36464893.75,-0.0,-0.0,-0.0,-0.07,3050000.0,0.0,-1746.55
JUN25,109.8671875,-5%,-0.05,percentage,715447500.0,-0.0,-20235007.03,-0.0,-0.0,-0.0,-0.08,2930000.0,0.0,-2092.88
JUN25,109.8671875,-2.5%,-0.025,percentage,715447500.0,-0.0,-12187235.55,-0.0,-0.0,-0.0,-0.08,2930000.0,-0.0,-2131.73
JUN25,109.8671875,-2,-2.0,absolute_usd,715447500.0,-0.0,-9999464.06,-0.0,-0.0,-0.0,-0.08,2930000.0,-0.0,-1794.54
JUN25,109.8671875,-1.5,-1.5,absolute_usd,715447500.0,-0.0,-8534464.06,0.0,-0.0,-0.0,-0.09,2930000.0,-0.0,-1476.77
JUN25,109.8671875,-1,-1.0,absolute_usd,715447500.0,-0.0,-7069464.06,-0.0,-0.0,-0.0,-0.09,2930000.0,-0.0,-981.86
JUN25,109.8671875,-0.5,-0.5,absolute_usd,715447500.0,-0.0,-5463839.06,-0.0,-0.0,-0.0,-0.05,4130000.0,0.0,-1281.76
JUN25,109.8671875,-0.25,-0.25,absolute_usd,715447500.0,-0.0,-4431339.06,-0.0,-0.0,-0.0,-0.05,4130000.0,-0.0,-1356.93
JUN25,109.8671875,0,0.0,absolute_usd,715447500.0,-0.0,-3328526.56,-0.0,-0.0,-0.0,-0.06,4730000.0,-0.0,-1167.16
JUN25,109.8671875,0.25,0.25,absolute_usd,715447500.0,0.0,-1952667.19,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,0.5,0.5,absolute_usd,715447500.0,0.0,-357667.19,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,1,1.0,absolute_usd,715447500.0,0.0,2832332.81,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,1.5,1.5,absolute_usd,715447500.0,0.0,6022332.81,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,2,2.0,absolute_usd,715447500.0,0.0,9212332.81,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,2.5%,0.025,percentage,715447500.0,0.0,13976149.22,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,5%,0.05,percentage,715447500.0,0.0,31499965.63,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,10%,0.1,percentage,715447500.0,0.0,66547598.44,0.0,0.0,0.0,-0.0,6380000.0,0.0,0.0
JUN25,109.8671875,15%,0.15,percentage,715447500.0,0.0,101595231.25,-0.0,-0.0,-0.0,0.0,6380000.0,0.0,7.96
JUN25,109.8671875,20%,0.2,percentage,715447500.0,-0.0,136642864.06,0.0,0.0,0.0,-0.0,6380000.0,0.0,0.0
JUN25,109.8671875,25%,0.25,percentage,715447500.0,-0.0,171690496.88,0.0,0.0,0.0,-0.0,6380000.0,0.0,0.0
JUN25,109.8671875,30%,0.3,percentage,715447500.0,-0.0,206738129.69,0.0,0.0,0.0,-0.0,6380000.0,0.0,0.0
27MAY25,109.8671875,-30%,-0.3,percentage,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-25%,-0.25,percentage,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-20%,-0.2,percentage,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-15%,-0.15,percentage,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-10%,-0.1,percentage,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-5%,-0.05,percentage,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-2.5%,-0.025,percentage,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
27MAY25,109.8671875,-2,-2.0,absolute_usd,18750.0,-0.0,,0.0,0.0,0.0,-0.0,-100000.0,0.0,0.0
