line_no,raw,normalized_bbg,actantrisk,status,error
465,TJWQ25P4 110.25 Comdty,TJWQ25P4 110.25 Comdty,XCME.HY4.28AUG25.110:25.P,ok,
466,TJWQ25P4 110.5 Comdty,TJWQ25P4 110.5 Comdty,XCME.HY4.28AUG25.110:5.P,ok,
467,TJWQ25P4 110.75 Comdty,TJWQ25P4 110.75 Comdty,XCME.HY4.28AUG25.110:75.P,ok,
468,TJWQ25P4 111 Comdty,TJWQ25P4 111 Comdty,XCME.HY4.28AUG25.111.P,ok,
469,TJWQ25P4 111.25 Comdty,TJWQ25P4 111.25 Comdty,XCME.HY4.28AUG25.111:25.P,ok,
470,TJWQ25P4 111.5 Comdty,TJWQ25P4 111.5 Comdty,XCME.HY4.28AUG25.111:5.P,ok,
471,TJWQ25P4 111.75 Comdty,TJWQ25P4 111.75 Comdty,XCME.HY4.28AUG25.111:75.P,ok,
472,TJWQ25P4 112 Comdty,TJWQ25P4 112 Comdty,XCME.HY4.28AUG25.112.P,ok,
473,TJWQ25P4 112.25 Comdty,TJWQ25P4 112.25 Comdty,XCME.HY4.28AUG25.112:25.P,ok,
474,TJWQ25P4 112.5 Comdty,TJWQ25P4 112.5 Comdty,XCME.HY4.28AUG25.112:5.P,ok,
475,TJWQ25P4 112.75 Comdty,TJWQ25P4 112.75 Comdty,XCME.HY4.28AUG25.112:75.P,ok,
476,TJWQ25P4 113 Comdty,TJWQ25P4 113 Comdty,XCME.HY4.28AUG25.113.P,ok,
477,TJWQ25P4 113.25 Comdty,TJWQ25P4 113.25 Comdty,XCME.HY4.28AUG25.113:25.P,ok,
478,TJWQ25P4 113.5 Comdty,TJWQ25P4 113.5 Comdty,XCME.HY4.28AUG25.113:5.P,ok,
479,TJWQ25P4 113.75 Comdty,TJWQ25P4 113.75 Comdty,XCME.HY4.28AUG25.113:75.P,ok,
480,TJWQ25P4 114 Comdty,TJWQ25P4 114 Comdty,XCME.HY4.28AUG25.114.P,ok,
481,5MQ5C 110 Comdty,5MQ5C 110 Comdty,XCME.ZN5.29AUG25.110.C,ok,
482,5MQ5C 110.25 Comdty,5MQ5C 110.25 Comdty,XCME.ZN5.29AUG25.110:25.C,ok,
483,5MQ5C 110.5 Comdty,5MQ5C 110.5 Comdty,XCME.ZN5.29AUG25.110:5.C,ok,
484,5MQ5C 110.75 Comdty,5MQ5C 110.75 Comdty,XCME.ZN5.29AUG25.110:75.C,ok,
485,5MQ5C 111 Comdty,5MQ5C 111 Comdty,XCME.ZN5.29AUG25.111.C,ok,
486,5MQ5C 111.25 Comdty,5MQ5C 111.25 Comdty,XCME.ZN5.29AUG25.111:25.C,ok,
487,5MQ5C 111.5 Comdty,5MQ5C 111.5 Comdty,XCME.ZN5.29AUG25.111:5.C,ok,
488,5MQ5C 111.75 Comdty,5MQ5C 111.75 Comdty,XCME.ZN5.29AUG25.111:75.C,ok,
489,5MQ5C 112 Comdty,5MQ5C 112 Comdty,XCME.ZN5.29AUG25.112.C,ok,
490,5MQ5C 112.25 Comdty,5MQ5C 112.25 Comdty,XCME.ZN5.29AUG25.112:25.C,ok,
491,5MQ5C 112.5 Comdty,5MQ5C 112.5 Comdty,XCME.ZN5.29AUG25.112:5.C,ok,
492,5MQ5C 112.75 Comdty,5MQ5C 112.75 Comdty,XCME.ZN5.29AUG25.112:75.C,ok,
493,5MQ5C 113 Comdty,5MQ5C 113 Comdty,XCME.ZN5.29AUG25.113.C,ok,
494,5MQ5C 113.25 Comdty,5MQ5C 113.25 Comdty,XCME.ZN5.29AUG25.113:25.C,ok,
495,5MQ5C 113.5 Comdty,5MQ5C 113.5 Comdty,XCME.ZN5.29AUG25.113:5.C,ok,
496,5MQ5C 113.75 Comdty,5MQ5C 113.75 Comdty,XCME.ZN5.29AUG25.113:75.C,ok,
497,5MQ5C 114 Comdty,5MQ5C 114 Comdty,XCME.ZN5.29AUG25.114.C,ok,
498,5MQ5P 110 Comdty,5MQ5P 110 Comdty,XCME.ZN5.29AUG25.110.P,ok,
499,5MQ5P 110.25 Comdty,5MQ5P 110.25 Comdty,XCME.ZN5.29AUG25.110:25.P,ok,
500,5MQ5P 110.5 Comdty,5MQ5P 110.5 Comdty,XCME.ZN5.29AUG25.110:5.P,ok,
501,5MQ5P 110.75 Comdty,5MQ5P 110.75 Comdty,XCME.ZN5.29AUG25.110:75.P,ok,
502,5MQ5P 111 Comdty,5MQ5P 111 Comdty,XCME.ZN5.29AUG25.111.P,ok,
503,5MQ5P 111.25 Comdty,5MQ5P 111.25 Comdty,XCME.ZN5.29AUG25.111:25.P,ok,
504,5MQ5P 111.5 Comdty,5MQ5P 111.5 Comdty,XCME.ZN5.29AUG25.111:5.P,ok,
505,5MQ5P 111.75 Comdty,5MQ5P 111.75 Comdty,XCME.ZN5.29AUG25.111:75.P,ok,
506,5MQ5P 112 Comdty,5MQ5P 112 Comdty,XCME.ZN5.29AUG25.112.P,ok,
507,5MQ5P 112.25 Comdty,5MQ5P 112.25 Comdty,XCME.ZN5.29AUG25.112:25.P,ok,
508,5MQ5P 112.5 Comdty,5MQ5P 112.5 Comdty,XCME.ZN5.29AUG25.112:5.P,ok,
509,5MQ5P 112.75 Comdty,5MQ5P 112.75 Comdty,XCME.ZN5.29AUG25.112:75.P,ok,
510,5MQ5P 113 Comdty,5MQ5P 113 Comdty,XCME.ZN5.29AUG25.113.P,ok,
511,5MQ5P 113.25 Comdty,5MQ5P 113.25 Comdty,XCME.ZN5.29AUG25.113:25.P,ok,
512,5MQ5P 113.5 Comdty,5MQ5P 113.5 Comdty,XCME.ZN5.29AUG25.113:5.P,ok,
513,5MQ5P 113.75 Comdty,5MQ5P 113.75 Comdty,XCME.ZN5.29AUG25.113:75.P,ok,
514,5MQ5P 114 Comdty,5MQ5P 114 Comdty,XCME.ZN5.29AUG25.114.P,ok,
