line_no,raw,normalized_bbg,actantrisk,status,error
107,TJWQ25C2 110 Comdty,TJWQ25C2 110 Comdty,XCME.HY2.14AUG25.110.C,ok,
108,TJWQ25C2 110.25 Comdty,TJWQ25C2 110.25 Comdty,XCME.HY2.14AUG25.110:25.C,ok,
109,TJWQ25C2 110.5 Comdty,TJWQ25C2 110.5 Comdty,XCME.HY2.14AUG25.110:5.C,ok,
110,TJWQ25C2 110.75 Comdty,TJWQ25C2 110.75 Comdty,XCME.HY2.14AUG25.110:75.C,ok,
111,TJWQ25C2 111 Comdty,TJWQ25C2 111 Comdty,XCME.HY2.14AUG25.111.C,ok,
112,TJWQ25C2 111.25 Comdty,TJWQ25C2 111.25 Comdty,XCME.HY2.14AUG25.111:25.C,ok,
113,TJWQ25C2 111.5 Comdty,TJWQ25C2 111.5 Comdty,XCME.HY2.14AUG25.111:5.C,ok,
114,TJWQ25C2 111.75 Comdty,TJWQ25C2 111.75 Comdty,XCME.HY2.14AUG25.111:75.C,ok,
115,TJWQ25C2 112 Comdty,TJWQ25C2 112 Comdty,XCME.HY2.14AUG25.112.C,ok,
116,TJWQ25C2 112.25 Comdty,TJWQ25C2 112.25 Comdty,XCME.HY2.14AUG25.112:25.C,ok,
117,TJWQ25C2 112.5 Comdty,TJWQ25C2 112.5 Comdty,XCME.HY2.14AUG25.112:5.C,ok,
118,TJWQ25C2 112.75 Comdty,TJWQ25C2 112.75 Comdty,XCME.HY2.14AUG25.112:75.C,ok,
119,TJWQ25C2 113 Comdty,TJWQ25C2 113 Comdty,XCME.HY2.14AUG25.113.C,ok,
120,TJWQ25C2 113.25 Comdty,TJWQ25C2 113.25 Comdty,XCME.HY2.14AUG25.113:25.C,ok,
121,TJWQ25C2 113.5 Comdty,TJWQ25C2 113.5 Comdty,XCME.HY2.14AUG25.113:5.C,ok,
122,TJWQ25C2 113.75 Comdty,TJWQ25C2 113.75 Comdty,XCME.HY2.14AUG25.113:75.C,ok,
123,TJWQ25C2 114 Comdty,TJWQ25C2 114 Comdty,XCME.HY2.14AUG25.114.C,ok,
124,TJWQ25P2 110 Comdty,TJWQ25P2 110 Comdty,XCME.HY2.14AUG25.110.P,ok,
125,TJWQ25P2 110.25 Comdty,TJWQ25P2 110.25 Comdty,XCME.HY2.14AUG25.110:25.P,ok,
126,TJWQ25P2 110.5 Comdty,TJWQ25P2 110.5 Comdty,XCME.HY2.14AUG25.110:5.P,ok,
127,TJWQ25P2 110.75 Comdty,TJWQ25P2 110.75 Comdty,XCME.HY2.14AUG25.110:75.P,ok,
128,TJWQ25P2 111 Comdty,TJWQ25P2 111 Comdty,XCME.HY2.14AUG25.111.P,ok,
129,TJWQ25P2 111.25 Comdty,TJWQ25P2 111.25 Comdty,XCME.HY2.14AUG25.111:25.P,ok,
130,TJWQ25P2 111.5 Comdty,TJWQ25P2 111.5 Comdty,XCME.HY2.14AUG25.111:5.P,ok,
131,TJWQ25P2 111.75 Comdty,TJWQ25P2 111.75 Comdty,XCME.HY2.14AUG25.111:75.P,ok,
132,TJWQ25P2 112 Comdty,TJWQ25P2 112 Comdty,XCME.HY2.14AUG25.112.P,ok,
133,TJWQ25P2 112.25 Comdty,TJWQ25P2 112.25 Comdty,XCME.HY2.14AUG25.112:25.P,ok,
134,TJWQ25P2 112.5 Comdty,TJWQ25P2 112.5 Comdty,XCME.HY2.14AUG25.112:5.P,ok,
135,TJWQ25P2 112.75 Comdty,TJWQ25P2 112.75 Comdty,XCME.HY2.14AUG25.112:75.P,ok,
136,TJWQ25P2 113 Comdty,TJWQ25P2 113 Comdty,XCME.HY2.14AUG25.113.P,ok,
137,TJWQ25P2 113.25 Comdty,TJWQ25P2 113.25 Comdty,XCME.HY2.14AUG25.113:25.P,ok,
138,TJWQ25P2 113.5 Comdty,TJWQ25P2 113.5 Comdty,XCME.HY2.14AUG25.113:5.P,ok,
139,TJWQ25P2 113.75 Comdty,TJWQ25P2 113.75 Comdty,XCME.HY2.14AUG25.113:75.P,ok,
140,TJWQ25P2 114 Comdty,TJWQ25P2 114 Comdty,XCME.HY2.14AUG25.114.P,ok,
141,3MQ5C 110 Comdty,3MQ5C 110 Comdty,XCME.ZN3.15AUG25.110.C,ok,
142,3MQ5C 110.25 Comdty,3MQ5C 110.25 Comdty,XCME.ZN3.15AUG25.110:25.C,ok,
143,3MQ5C 110.5 Comdty,3MQ5C 110.5 Comdty,XCME.ZN3.15AUG25.110:5.C,ok,
144,3MQ5C 110.75 Comdty,3MQ5C 110.75 Comdty,XCME.ZN3.15AUG25.110:75.C,ok,
145,3MQ5C 111 Comdty,3MQ5C 111 Comdty,XCME.ZN3.15AUG25.111.C,ok,
146,3MQ5C 111.25 Comdty,3MQ5C 111.25 Comdty,XCME.ZN3.15AUG25.111:25.C,ok,
147,3MQ5C 111.5 Comdty,3MQ5C 111.5 Comdty,XCME.ZN3.15AUG25.111:5.C,ok,
148,3MQ5C 111.75 Comdty,3MQ5C 111.75 Comdty,XCME.ZN3.15AUG25.111:75.C,ok,
149,3MQ5C 112 Comdty,3MQ5C 112 Comdty,XCME.ZN3.15AUG25.112.C,ok,
150,3MQ5C 112.25 Comdty,3MQ5C 112.25 Comdty,XCME.ZN3.15AUG25.112:25.C,ok,
151,3MQ5C 112.5 Comdty,3MQ5C 112.5 Comdty,XCME.ZN3.15AUG25.112:5.C,ok,
152,3MQ5C 112.75 Comdty,3MQ5C 112.75 Comdty,XCME.ZN3.15AUG25.112:75.C,ok,
153,3MQ5C 113 Comdty,3MQ5C 113 Comdty,XCME.ZN3.15AUG25.113.C,ok,
154,3MQ5C 113.25 Comdty,3MQ5C 113.25 Comdty,XCME.ZN3.15AUG25.113:25.C,ok,
155,3MQ5C 113.5 Comdty,3MQ5C 113.5 Comdty,XCME.ZN3.15AUG25.113:5.C,ok,
156,3MQ5C 113.75 Comdty,3MQ5C 113.75 Comdty,XCME.ZN3.15AUG25.113:75.C,ok,
157,3MQ5C 114 Comdty,3MQ5C 114 Comdty,XCME.ZN3.15AUG25.114.C,ok,
158,3MQ5P 110 Comdty,3MQ5P 110 Comdty,XCME.ZN3.15AUG25.110.P,ok,
159,3MQ5P 110.25 Comdty,3MQ5P 110.25 Comdty,XCME.ZN3.15AUG25.110:25.P,ok,
