tradeId,instrumentName,marketTradeTime,buySell,quantity,price
broker_141,XCMEFFDPSX20250919U0ZN,2025-08-01 11:08:00.000," ""S""",2.0,112.03125
broker_250,XCMEFFDPSX20250919U0ZN,2025-08-01 11:12:00.000," ""S""",2.0,112.046875
broker_189,XCMEFFDPSX20250919U0ZN,2025-08-01 11:12:00.000," ""S""",2.0,112.046875
broker_160,XCMEFFDPSX20250919U0ZN,2025-08-01 11:14:00.000," ""S""",5.0,112.046875
broker_61,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.25,2025-08-01 11:25:00.000," ""B""",10.0,0.140625
broker_17,XCMEFFDPSX20250919U0ZN,2025-08-01 11:28:00.000," ""S""",2.0,112.046875
broker_114,XCMEFFDPSX20250919U0ZN,2025-08-01 11:31:00.000," ""S""",5.0,112.0625
broker_215,XCMEFFDPSX20250919U0ZN,2025-08-01 11:34:00.000," ""S""",4.0,112.078125
broker_99,XCMEFFDPSX20250919U0ZN,2025-08-01 11:34:00.000," ""S""",5.0,112.09375
broker_214,XCMEFFDPSX20250919U0ZN,2025-08-01 11:34:00.000," ""S""",2.0,112.09375
broker_78,XCMEFFDPSX20250919U0ZN,2025-08-01 11:36:00.000," ""S""",5.0,112.09375
broker_227,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.50,2025-08-01 11:37:00.000," ""B""",100.0,0.09375
broker_116,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.75,2025-08-01 11:37:00.000," ""B""",100.0,0.046875
broker_176,XCMEFFDPSX20250919U0ZN,2025-08-01 11:38:00.000," ""S""",2.0,112.078125
broker_203,XCMEFFDPSX20250919U0ZN,2025-08-01 11:38:00.000," ""S""",5.0,112.078125
broker_219,XCMEFFDPSX20250919U0ZN,2025-08-01 11:40:00.000," ""S""",5.0,112.078125
broker_48,XCMEFFDPSX20250919U0ZN,2025-08-01 11:41:00.000," ""S""",10.0,112.09375
broker_267,XCMEFFDPSX20250919U0ZN,2025-08-01 11:53:00.000," ""S""",2.0,112.078125
broker_85,XCMEFFDPSX20250919U0ZN,2025-08-01 11:57:00.000," ""S""",2.0,112.09375
broker_118,XCMEFFDPSX20250919U0ZN,2025-08-01 11:57:00.000," ""S""",2.0,112.078125
broker_147,XCMEFFDPSX20250919U0ZN,2025-08-01 11:58:00.000," ""S""",2.0,112.109375
broker_263,XCMEFFDPSX20250919U0ZN,2025-08-01 11:58:00.000," ""S""",5.0,112.109375
broker_7,XCMEFFDPSX20250919U0ZN,2025-08-01 11:58:00.000," ""S""",5.0,112.109375
broker_1,XCMEFFDPSX20250919U0ZN,2025-08-01 12:04:00.000," ""S""",1.0,112.125
broker_107,XCMEFFDPSX20250919U0ZN,2025-08-01 12:04:00.000," ""S""",1.0,112.125
broker_146,XCMEFFDPSX20250919U0ZN,2025-08-01 12:04:00.000," ""S""",4.0,112.125
broker_275,XCMEFFDPSX20250919U0ZN,2025-08-01 12:04:00.000," ""S""",1.0,112.125
broker_13,XCMEFFDPSX20250919U0ZN,2025-08-01 12:09:00.000," ""S""",2.0,112.125
broker_178,XCMEFFDPSX20250919U0ZN,2025-08-01 12:15:00.000," ""S""",2.0,112.125
broker_89,XCMEFFDPSX20250919U0ZN,2025-08-01 12:15:00.000," ""S""",2.0,112.125
broker_30,XCMEFFDPSX20250919U0ZN,2025-08-01 12:17:00.000," ""B""",2.0,112.109375
broker_229,CALL AUG 25 CBT 10YR TNOTE WED WK1 112.50,2025-08-01 12:17:00.000," ""B""",50.0,0.125
broker_169,XCMEFFDPSX20250919U0ZN,2025-08-01 12:26:00.000," ""S""",2.0,112.125
broker_270,XCMEFFDPSX20250919U0ZN,2025-08-01 12:33:00.000," ""S""",2.0,112.125
broker_173,XCMEFFDPSX20250919U0ZN,2025-08-01 12:33:00.000," ""S""",5.0,112.125
broker_272,XCMEFFDPSX20250919U0ZN,2025-08-01 12:34:00.000," ""S""",1.0,112.125
broker_119,XCMEFFDPSX20250919U0ZN,2025-08-01 12:34:00.000," ""S""",5.0,112.125
broker_127,CALL AUG 25 CBT 10YR T NOTE W1 THURS OPT 112.50,2025-08-01 12:34:00.000," ""B""",94.0,0.15625
broker_130,XCMEFFDPSX20250919U0ZN,2025-08-01 12:38:00.000," ""S""",2.0,112.140625
broker_152,XCMEFFDPSX20250919U0ZN,2025-08-01 12:38:00.000," ""S""",4.0,112.140625
broker_76,XCMEFFDPSX20250919U0ZN,2025-08-01 12:38:00.000," ""S""",1.0,112.140625
