key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,midpoint_price,expiry_date,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.ZN2.11JUL25.111:25.C,0.1875,0.203125,111.25,C,0.1976962,433.9131031,479.2163326,456.5804618,0,0,0.0,,,110897227,390625,0.1953125,11JUL25,0.007415674603174603,4.589431579607284,4.589431579607284,0.5706028412757423,35.94797900037177,0.9935798174458708,6.340050228800779,0.03381522844054835,2.130359391754546,-41.52312435496641,0.23321154244522652,-15.22216416180689,-4710.365856954923,433.11023320685126,-35378.16243428626,16618.48114250533,-6093.1321830955085,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:25.C,1.0625,1.09375,110.25,C,1.0792702,,695.6486749,599.8026927,0,0,0.0,,,110897227,390625,1.078125,14JUL25,0.010970568783068783,5.5933291059099695,5.5933291059099695,0.9661460367758773,60.86720031688027,0.12833528838402708,4.567176114054888,0.007874910181773788,0.49611934145174863,-7.966293472700907,4.699228236975799,-24.557622258163605,-6260.33463098646,-935.5807791118176,3608.969736090959,-4943.699715392915,756.0104667187697,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:5.C,0.8125,0.84375,110.5,C,0.8369788,,567.0050085,482.8732807,0,0,0.0,,,110897227,390625,0.828125,14JUL25,0.010970568783068783,4.500709610747361,4.500709610747361,0.9590826311963953,60.4222057653729,0.18619799713215845,4.767166901642397,0.0091935902270441,0.5791961843037783,-7.483529144017553,6.1854553789330255,-33.936991659657544,-6961.377643345299,-1393.9543796808812,414.683297066194,-8910.827848919746,86.86825766930885,True,,bachelier_v1.0
XCME.VY2.14JUL25.110:75.C,0.59375,0.609375,110.75,C,0.6047878,436.5624438,508.6768872,474.4357585,0,0,0.0,,,110897227,390625,0.6015625,14JUL25,0.010970568783068783,4.755653814324624,4.755653814324624,0.8738859189351094,55.05481289291189,0.4158365047789336,5.320775946995046,0.021695116638028446,1.3667923481957922,-18.660038738542443,5.980368249505205,-49.86838106621423,-10808.772148520999,-297.1901916237236,-36652.34711079619,6926.047595435328,-7677.969080335057,True,,bachelier_v1.0
XCME.VY2.14JUL25.111.C,0.375,0.40625,111.0,C,0.3979528,401.6117387,495.5133208,449.7010126,0,0,0.0,,,110897227,390625,0.390625,14JUL25,0.010970568783068783,4.518384385301086,4.518384385301086,0.7507413785661694,47.29670684966867,0.6704077143111248,5.813962008078766,0.03323160537175007,2.0935911384202543,-27.156563703427864,3.3691506351909104,-47.52583062407445,-9787.093779572167,519.5691062127762,-52567.328679615726,21533.235692827526,-11011.854793850674,True,,bachelier_v1.0
XCME.VY2.14JUL25.111:25.C,0.21875,0.25,111.25,C,0.2346187,432.1367025,507.3305727,469.7642554,0,0,0.0,,,110897227,390625,0.234375,14JUL25,0.010970568783068783,4.720013027070034,4.720013027070034,0.5565487057020371,35.06256845922834,0.7988401347157735,5.508101058635461,0.04136492280812841,2.60599013691209,-35.31146487139939,0.1772713537624907,-11.900061853657553,-2559.9605673540514,225.16556359504293,-15429.738438033664,6879.010422114381,-3232.2365137152156,True,,bachelier_v1.0
XCME.WY3.16JUL25.110:25.C,1.078125,1.109375,110.25,C,1.09212,424.4624789,603.5087953,530.9332545,0,0,0.0,,,110897227,390625,1.09375,16JUL25,0.01890707671957672,5.327051887095147,5.327051887095147,0.9280205555914017,58.465295002258316,0.1872728490287726,4.640972271279086,0.018861930095876923,1.188301596040246,-10.544309258749232,7.560006321639007,-37.62690423791025,-5300.673239945353,-424.0628258566561,-6258.728651620266,-914.2031199738568,-1721.1880094278586,True,,bachelier_v1.0
XCME.WY3.16JUL25.110:5.C,0.84375,0.875,110.5,C,0.8638812,432.7429395,551.4765156,497.2878342,0,0,0.0,,,110897227,390625,0.859375,16JUL25,0.01890707671957672,4.998018542407289,4.998018542407289,0.8836883899862746,55.6723685691353,0.2847210410874777,4.8415490500185525,0.02690554617073467,1.6950494087562842,-14.111876028501332,7.6697727418816175,-46.73056472987345,-6176.529362025574,-210.04471929118927,-14157.417849130565,2002.12268256295,-3893.375029140331,True,,bachelier_v1.0
XCME.WY3.16JUL25.110:75.C,0.640625,0.671875,110.75,C,0.6556868,478.2223552,556.5316792,518.3297994,0,0,0.0,,,110897227,390625,0.65625,16JUL25,0.01890707671957672,5.190642782142962,5.190642782142962,0.7878722766548181,49.63595342925354,0.4061895901407438,4.921230045218848,0.03986339816410239,2.511394084338451,-21.71403515020786,4.903568947305398,-44.62934752976855,-6126.145359829299,164.3941935868132,-20269.470158040207,5748.816452710034,-5574.226162440017,True,,bachelier_v1.0
XCME.WY3.16JUL25.111.C,0.46875,0.484375,111.0,C,0.4775167,508.8826142,540.2169885,524.5954766,0,0,0.0,,,110897227,390625,0.4765625,16JUL25,0.01890707671957672,5.26044942863553,5.26044942863553,0.6710563160426999,42.27654791069009,0.5000258301447739,4.8030390472239475,0.04973242952232346,3.1331430599063776,-27.454124753689182,1.853935044748306,-30.446927756093228,-4235.570789016017,246.09242514140462,-16418.724492850237,5534.576885877877,-4515.247952134407,True,,bachelier_v1.0
