scenario_header,uprice,point_header_original,shock_value,shock_type,ATMVol,Delta,DownHalfSDVol,Epsilon,Gamma,Notional,SimUPrice,Theta,UpHalfSDVol,Vega,Zeta
06JUN25,110.8359375,-1,-1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-0.5,-0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,-0.25,-0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0,0.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0.25,0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0.5,0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,1,1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,1.5,1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,2,2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,0.01%,0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,2.5%,0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,5%,0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,10%,0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,15%,0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,20%,0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,25%,0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06JUN25,110.8359375,30%,0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-30%,-0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-25%,-0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-20%,-0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-15%,-0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-10%,-0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-5%,-0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-2.5%,-0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-0.01%,-0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-2,-2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-1.5,-1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-1,-1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-0.5,-0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,-0.25,-0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,0,0.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,0.25,0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,0.5,0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,1,1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,1.5,1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,2,2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,0.01%,0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,2.5%,0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,5%,0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,10%,0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,15%,0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,20%,0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,25%,0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13JUN25,110.8359375,30%,0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-30%,-0.3,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-25%,-0.25,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-20%,-0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-15%,-0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-10%,-0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-5%,-0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-2.5%,-0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-0.01%,-0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-2,-2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-1.5,-1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-1,-1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-0.5,-0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,-0.25,-0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,0,0.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,0.25,0.25,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,0.5,0.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,1,1.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,1.5,1.5,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,2,2.0,absolute_usd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,0.01%,0.0001,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,2.5%,0.025,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,5%,0.05,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,10%,0.1,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,15%,0.15,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN25,110.8359375,20%,0.2,percentage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
