key,bid,ask,strike,itype,adjtheor,ivbid,ivask,ivaverage,pos.position,pos.startofdaypos,pos.premium,pos.price,pos.marketvalue,utotal.premium,utotal.yesterdaypl,price_source,midpoint_price,expiry_date,bloomberg_symbol,vtexp,calc_vol,implied_vol,delta_F,delta_y,gamma_F,gamma_y,vega_price,vega_y,theta_F,volga_price,vanna_F_price,charm_F,speed_F,color_F,ultima,zomma,greek_calc_success,greek_calc_error,model_version
XCME.WY4.23JUL25.110:5.C,0.625,0.65625,110.5,C,0.6395123,,593.1370001,511.583735,0,0,0.0,,,19.7,111266384.023,adjtheor,0.6395123,23JUL25,,1.880556,0.27061294593329915,0.27061294593329915,0.9559243707058994,60.22323535447166,0.2511854490051886,5.0118374040663705,0.12782897810512836,8.053225620623087,-0.03649732872469968,1373.5593757084923,-587.3824380440942,-42.26231283423517,-2202.0250274527107,-10.498431740571126,-17488.15241484465,-28.793705592150506,True,,bachelier_v1.0
XCME.WY4.23JUL25.110:75.C,0.390625,0.421875,110.75,C,0.4082536,324.6526978,489.450856,416.7630584,0,0,0.0,,,19.7,111266384.023,adjtheor,0.4082536,23JUL25,,1.880556,0.25893921445375867,0.25893921445375867,0.8594977372174903,54.148357444701894,0.6283405719041102,6.103774226200874,0.30597024882459706,19.276125675949615,-0.0835911343663728,1373.3197679407724,-928.9308523217026,-63.95359276247083,-309.4693773552194,-330.9910658570132,25402.88951072388,-907.7983778366216,True,,bachelier_v1.0
XCME.WY4.23JUL25.111.C,0.203125,0.234375,111.0,C,0.2163574,372.2034495,468.8684418,420.8913816,0,0,0.0,,,19.7,111266384.023,adjtheor,0.2163574,23JUL25,,1.880556,0.2559869603036844,0.2559869603036844,0.6474095960817982,40.78680455315328,1.0579545086168756,6.918141748243931,0.5092969878874677,32.085710236910465,-0.137553657954332,284.77981948223055,-548.8935178924286,-37.358521409540266,977.0003156861612,-304.03103137788673,44138.12423831688,-833.8559724632294,True,,bachelier_v1.0
XCME.WY4.23JUL25.111:25.C,0.078125,0.109375,111.25,C,0.0962029,376.1444949,471.9402587,424.3391608,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0962029,23JUL25,,1.880556,0.2695138379078562,0.2695138379078562,0.3755947085113769,23.66246663621674,1.026490940001487,5.651640316613685,0.5202624234499207,32.776532677345,-0.14794037700420543,194.0687293625358,446.3292421836638,31.983069643080093,-792.0865136116305,250.90765904311706,-33368.72432450666,688.156235505532,True,,bachelier_v1.0
XCME.WY4.23JUL25.111:5.C,0.03125,0.046875,111.5,C,0.0421889,430.8737589,500.3161907,466.6941117,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0421889,23JUL25,,1.880556,0.30082476223885307,0.30082476223885307,0.18671029462150762,11.76274856115498,0.6507563424801387,3.367035160714003,0.36814445393761824,23.19310059806995,-0.11684631953129439,969.5428811431509,794.3149118645404,63.53163492723055,-291.6980577346157,340.00333268177934,-26225.134808219304,932.5160274897025,True,,bachelier_v1.0
XCME.WY4.23JUL25.111:75.C,0.0069999,0.03125,111.75,C,0.0216299,425.6366181,611.1385589,533.753427,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0216299,23JUL25,,1.880556,0.34626878705285247,0.34626878705285247,0.09684291577764742,6.101103693991788,0.3610060695155513,1.8395733361733424,0.23507915441694954,14.809986728267821,-0.08588368265817936,1146.8907647518038,643.4551477350489,59.24004218144245,681.1809207906745,163.5096878073696,-1998.4657925968907,448.4526764121946,True,,bachelier_v1.0
XCME.WY4.23JUL25.112.C,,0.015625,112.0,C,0.0131631,,659.9237458,573.7813138,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0131631,23JUL25,,1.880556,0.3989132451524457,0.3989132451524457,0.056457402007441454,3.5568163264688115,0.20759150976689347,1.0610517906960544,0.15573072823272127,9.81103587866144,-0.06554445609549513,981.021877973893,451.2779772634086,47.86370689731599,910.1276458467752,42.61509997673722,4194.705656404717,116.8790418256777,True,,bachelier_v1.0
XCME.WY4.23JUL25.112:25.C,,0.015625,112.25,C,0.0092529,,804.3752501,705.0457771,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0092529,23JUL25,,1.880556,0.4561818893954887,0.4561818893954887,0.03706180262264473,2.3348935652266185,0.12944643808204842,0.6694324837627581,0.11104893933870487,6.996083178338407,-0.05344851549950192,776.3653802535217,317.0137743443233,38.45031537077027,809.004543562095,-11.632557454979404,3970.2747360192425,-31.90423512000018,True,,bachelier_v1.0
XCME.WY4.23JUL25.112:5.C,,0.015625,112.5,C,0.0069351,,944.361715,832.7264602,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0069351,23JUL25,,1.880556,0.5129239137580293,0.5129239137580293,0.025965073639822814,1.6357996393088372,0.08576850791978358,0.4494685172208769,0.08273077121930583,5.212038586816267,-0.04477166167247759,609.3658588077959,228.61408637090184,31.177383689073636,658.4135851101908,-34.48522659916329,2866.367250419972,-94.58150383905726,True,,bachelier_v1.0
XCME.WY4.23JUL25.112:75.C,,0.015625,112.75,C,0.0054271,,1080.9075027,957.5920066,0,0,0.0,,,19.7,111266384.023,adjtheor,0.0054271,23JUL25,,1.880556,0.5687610231606062,0.5687610231606062,0.01906657568382159,1.2011942680807601,0.05960809553524539,0.31666414905143964,0.06375604137727023,4.016630606768024,-0.03825906600166214,481.9104506292937,169.48676697767317,25.630044252445725,522.7711757113514,-42.68840970588246,1931.825737104984,-117.08010602366555,True,,bachelier_v1.0
